,Authors,Quotes,Likes,tags
8,"William Shakespeare,","“Words are easy, like the wind; faithful friends are hard to find.”",3978,['friendship']
9,"Thomas Merton,","“The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image. If in loving them we do not love what they are, but only their potential likeness to ourselves, then we do not love them: we only love the reflection of ourselves we find in them”",3894,"['friendship,', 'love,', 'self-discovery,', 'trust,', 'truth']"
10,"Ally Condie,",“Growing apart doesn't change the fact that for a long time we grew side by side; our roots will always be tangled. I'm glad for that.”,3882,"['childhood,', 'friendship,', 'growing-up']"
11,"Jay McInerney,",“The capacity for friendship is God's way of apologizing for our families.”,3594,"['family,', 'friendship,', 'humor']"
12,Bette Midler,“The worst part of success is trying to find someone who is happy for you.”,3463,"['friendship,', 'happiness,', 'humor,', 'inspirational,', 'jealousy,', 'success']"
13,"J. K. Rowling,","“There are some things you can't share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.”",3406,"['awesome,', 'friendship,', 'inspirational']"
14,Margaret Lee Runbeck,"“Silence make the real conversations between friends. Not the saying, but the never needing to say that counts.”",3356,['friendship']
15,"Antoine de Saint-Exupéry,","“People have forgotten this truth,"" the fox said. ""But you mustn’t forget it. You become responsible forever for what you’ve tamed. You’re responsible for your rose.”",3289,"['friendship,', 'love,', 'responsibility']"
16,"Markus Zusak,",“A snowball in the face is surely the perfect beginning to a lasting friendship.”,3221,"['friendship,', 'snow']"
17,Ralph Waldo Emerson,"“The glory of friendship is not the outstretched hand, not the kindly smile, nor the joy of companionship; it is the spiritual inspiration that comes to one when you discover that someone else believes in you and is willing to trust you with a friendship.”",3202,['friendship']
18,"J.R.R. Tolkien,","“I am glad you are here with me. Here at the end of all things, Sam.”",3198,"['friendship,', 'frodo']"
19,Stephen Fry,"“If you know someone who’s depressed, please resolve never to ask them why. Depression isn’t a straightforward response to a bad situation; depression just is, like the weather.",3049,"['advice,', 'depression,', 'friendship,', 'life,', 'self-help']"
20,Elie Wiesel,"“Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.”",3022,"['deep,', 'friendship,', 'life,', 'love,', 'obsession,', 'sharing']"
21,"Charles Lamb,","“Tis the privilege of friendship to talk nonsense, and to have her nonsense respected.”",3001,"['friendship,', 'nonsense']"
22,"J.D. Salinger,","“I am always saying ""Glad to've met you"" to somebody I'm not at all glad I met. If you want to stay alive, you have to say that stuff, though.”",2945,"['friendship,', 'insincerity,', 'manners']"
23,"Emilie Autumn,","“It gives me strength to have somebody to fight for; I can never fight for myself, but, for others, I can kill.”",2944,"['fight,', 'friends,', 'friendship,', 'kill,', 'loyalty,', 'strength']"
24,"Stieg Larsson,","“Friendship- my definition- is built on two things. Respect and trust. Both elements have to be there. And it has to be mutual. You can have respect for someone, but if you don't have trust, the friendship will crumble.”",2911,"['friendship,', 'incredibly-true,', 'mutuality,', 'reciprocity,', 'respect,', 'trust']"
25,P.C. Cast  Kristin Cast,"“If you have good friends, no matter how much life is sucking , they can make you laugh.”",2830,['friendship']
26,"Rainbow Rowell,","“Holding Eleanor's hand was like holding a butterfly. Or a heartbeat. Like holding something complete, and completely alive.”",2805,"['friendship,', 'high-school,', 'love,', 'relationships,', 'sweet,', 'teenage-love']"
27,"George R.R. Martin,","“When the snows fall and the white winds blow, the lone wolf dies but the pack survives.”",2804,"['friendship,', 'loneliness']"
28,"Rainbow Rowell,","“I don’t trust anybody. Not anybody. And the more that I care about someone, the more sure I am they’re going to get tired of me and take off.”",2796,"['fear,', 'friendship,', 'tired,', 'trust']"
29,Fred Rogers,"“When I say it's you I like, I'm talking about that part of you that knows that life is far more than anything you can ever see or hear or touch. That deep part of you that allows you to stand for those things without which humankind cannot survive. Love that conquers hate, peace that rises triumphant over war, and justice that proves more powerful than greed.”",2696,"['friends,', 'friendship,', 'love,', 'peace']"
0,Oscar Wilde,"“Anybody can sympathise with the sufferings of a friend, but it requires a very fine nature to sympathise with a friend's success.”",2629,['friendship']
1,"Dean Koontz,",“Never leave a friend behind. Friends are all we have to get us through this life--and they are the only things from this world that we could hope to see in the next.”,2450,['friendship']
2,James Lecesne,"“This is how it works. I love the people in my life, and I do for my friends whatever they need me to do for them, again and again, as many times as is necessary. For example, in your case you always forgot who you are and how much you're loved. So what I do for you as your friend is remind you who you are and tell you how much I love you. And this isn't any kind of burden for me, because I love who you are very much. Every time I remind you, I get to remember with you, which is my pleasure.”",2391,['friendship']
3,"L.M. Montgomery,",“True friends are always together in spirit.”,2298,"['friends,', 'friendship,', 'together,', 'together-in-spirit,', 'true-friends']"
