,Authors,Quotes,Likes,tags
2,"C.S. Lewis,","“When the two people who thus discover that they are on the same secret road are of different sexes, the friendship which arises between them will very easily pass – may pass in the first half hour – into erotic love. Indeed, unless they are physically repulsive to each other or unless one or both already loves elsewhere, it is almost certain to do so sooner or later. And conversely, erotic love may lead to Friendship between the lovers. But this, so far from obliterating the distinction between the two loves, puts it in a clearer light. If one who was first, in the deep and full sense, your Friend, is then gradually or suddenly revealed as also your lover you will certainly not want to share the Beloved’s erotic love with any third. But you will have no jealousy at all about sharing the Friendship. Nothing so enriches an erotic love as the discovery that the Beloved can deeply, truly and spontaneously enter into Friendship with the Friends you already had; to feel that not only are we two united by erotic love but we three or four or five are all travelers on the same quest, have all a common vision.”",718,['friendship']
3,"C.S. Lewis,","“We live, in fact, in a world starved for solitude, silence, and private: and therefore starved for meditation and true friendship.”",717,"['christianity,', 'friendship,', 'privacy,', 'solitude']"
4,Charles Caleb Colton,“True friendship is like sound health; the value of it is seldom known until it be lost.”,692,"['amity,', 'friendship']"
5,Aristotle,“The antidote for fifty enemies is one friend.”,690,['friendship']
6,"Cassandra Clare,",“You had to know a person well to make them laugh like that.”,687,"['friendship,', 'laughter,', 'love']"
7,"Mindy Kaling,",“One friend with whom you have a lot in common is better than three with whom you struggle to find things to talk about.”,679,['friendship']
8,"J.M. Darhower,","“Colpo di fulmine. The thunderbolt, as Italians call it. When love strikes someone like lightning, so powerful and intense it can’t be denied. It’s beautiful and messy,",677,"['friendship,', 'love,', 'love-at-first-sight']"
9,Nicole Richie,"“True friends are like diamonds – bright, beautiful, valuable, and always in style.”",676,"['diamonds,', 'fashion,', 'friends,', 'friendship,', 'jewelry,', 'style']"
10,"Khalil Gibran,","“Friendship is always a sweet responsibility, never an opportunity.”",673,['friendship']
11,William James,"“We are like islands in the sea, separate on the surface but connected in the deep.”",670,"['connection,', 'friendship,', 'sea']"
12,"John Green,","“Being in a relationship, that's something you choose. Being friends, that's just something you are. [But] I",667,['friendship']
13,"Khalil Gibran,","“When you part from your friend, you grieve not;",664,"['friendship,', 'grief,', 'poetry,', 'seperation']"
14,"Jess C Scott,","“V-Day…if you need this one day in a year to show everyone else you truly care for “your loved one” I think it’s quite stupid. I hate this commercialism. It’s all artificial, and has nothing to do with real love.”",659,"['body,', 'books,', 'cool,', 'culture,', 'desire,', 'emotion,', 'friendship,', 'funny,', 'girl,', 'honesty,', 'humor,', 'humour,', 'imagination,', 'individuality,', 'life,', 'love,', 'music,', 'novel,', 'passion,', 'reality,', 'relationships,', 'romance,', 'self,', 'sex,', 'technology,', 'truth,', 'wisdom,', 'young,', 'youth']"
15,"F. Scott Fitzgerald,",“New friends can often have a better time together than old friends.”,645,['friendship']
16,Stephen Schwartz,“I've heard it said that people come into our lives for a reason,643,"['broadway,', 'for-good,', 'friendship,', 'goodbyes,', 'musicals,', 'parting,', 'wicked']"
17,Bernard Branson,“Rejection is an opportunity for your selection.”,635,"['adult,', 'african-american-romance,', 'angels,', 'baby,', 'bible,', 'bible-study,', 'business,', 'childrens,', 'christian-living,', 'christian-romance,', 'college,', 'creativity,', 'dark-fantasy,', 'dating,', 'economics,', 'education,', 'educational,', 'entrepreneurship,', 'ethics,', 'explicit,', 'faith,', 'family,', 'family-relationships,', 'fantasy-romance,', 'friendship,', 'fun,', 'funny,', 'humorous-romance,', 'jesus,', 'leadership,', 'love-story,', 'management,', 'marriage,', 'meditation,', 'motivational,', 'nonfiction,', 'paranormal-romance,', 'parenting,', 'personal-transformation,', 'relationships,', 'religion,', 'romantic-comedy,', 'romantic-suspense,', 'self-esteem,', 'self-help,', 'sex,', 'sexuality,', 'sexy,', 'spiritual-growth,', 'spirituality,', 'students,', 'success,', 'supernatural,', 'teen,', 'women,', 'young-adult,', 'young-adult-fantasy']"
18,Marcus Tullius Cicero,"“Friendship improves happiness, and abates misery, by doubling our joys, and dividing our grief”",633,['friendship']
19,"T.S. Eliot,",“Unreal friendship may turn to real,632,"['friends,', 'friendship']"
20,"William Shakespeare,","“...Who could refrain,",620,"['courage,', 'friendship,', 'love']"
21,"Jim Butcher,","“There is a primal reassurance in being touched, in knowing that someone else, someone close to you, wants to be touching you. There is a bone-deep security that goes with the brush of a human hand, a silent, reflex-level affirmation that someone is near, that someone cares.”",612,"['caring,', 'friendship,', 'harry-dresden']"
22,"Jodi Picoult,",“A real friend isn't capable of feeling sorry for you.”,608,['friendship']
23,Goethe,"“The world is so empty if one thinks only of mountains, rivers & cities; but to know someone who thinks & feels with us, & who, though distant, is close to us in spirit, this makes the earth for us an inhabited garden.”",604,"['community,', 'connection,', 'friendship,', 'goethe,', 'inspirational,', 'love']"
24,Arthur Miller,“Betrayal is the only truth that sticks.”,586,"['betrayal,', 'friendship,', 'reality']"
25,"Ann Brashares,","“When you feel someone else's pain and joy as powerfully as if it were your own, then you know you really loved them.”",585,"['friendship,', 'joy,', 'love,', 'pain']"
26,"Nina LaCour,","“There used to be days that I thought I was okay, or at least that I was going to be. We'd be hanging out somewhere and everything would just fit right and I would think 'it will be okay if it can just be like this forever' but of course nothing can ever stay just how it is forever.”",577,"['forever,', 'friendship,', 'love,', 'okay,', 'suicide,', 'suicide-note']"
27,"Susanna Kaysen,","“Was I ever crazy? Maybe. Or maybe life is… Crazy isn’t being broken or swallowing a dark secret. It’s you or me amplified. If you ever told a lie and enjoyed it. If you ever wished you could be a child forever. They were not perfect, but they were my friends.”",575,"['crazy,', 'friendship,', 'insanity,', 'madness']"
28,Mark Twain,"“It takes your enemy and your friend, working together, to hurt you to the heart: the one to slander you and the other to get the news to you.”",569,"['enemy,', 'friendship']"
29,Kurt Cobain,"“I was tired of pretending that I was someone else just to get along with people, just for the sake of having friendships.”",563,"['companionship,', 'facade,', 'friendship,', 'genuine,', 'kurt-cobain,', 'shallow,', 'superficial,', 'true-blue']"
0,Louisa May Alcott,“A faithful friend is a strong defense;,923,"['amity,', 'friendship']"
1,Jane Austen,“Which of all my important nothings shall I tell you first?”,618,['friendship']
2,W.Somerset Maugham,"“When you choose your friends, don't be short-changed by choosing personality over character.”",595,"['character,', 'friendship']"
3,"Richard Bach,","“Don't be dismayed at good-byes. A farewell is necessary before you can meet again. And meeting again, after moments or lifetimes, is certain for those who are friends.”",580,['friendship']
4,"Christopher Hitchens,",“What do you most value in your friends?,578,"['death,', 'friends,', 'friendship,', 'life,', 'proust-questionnaire,', 'rushdie']"
5,Israelmore Ayivor,“7 things negative people will do to you. They will...,571,"['7-habits-of-negative-people,', 'abilities,', 'ability,', 'bad,', 'bad-friends,', 'bad-people,', 'companions,', 'crazily,', 'crazy,', 'deframe,', 'demean,', 'destroy,', 'disbelieve,', 'discredit,', 'dispose,', 'disvalue,', 'drive,', 'food-for-thought,', 'friends,', 'friendship,', 'good-friends,', 'ideas,', 'image,', 'imaginations,', 'israelmore-ayivor,', 'negative,', 'negative-people,', 'negativity,', 'opinions,', 'people,', 'potentials,', 'power,', 'stay-away,', 'thought,', 'toxic-people,', 'value']"
6,"L.M. Montgomery,","“Oh, sometimes I think it is of no use to make friends. They only go out of your life after awhile and leave a hurt that is worse than the emptiness before they came.”",570,"['friendship,', 'loss,', 'sadness']"
7,Hayao Miyazaki,"“I’ve become skeptical of the unwritten rule that just because a boy and girl appear in the same feature, a romance must ensue. Rather, I want to portray a slightly different relationship, one where the two mutually inspire each other to live - if I’m able to, then perhaps I’ll be closer to portraying a true expression of love.”",554,"['friendship,', 'love,', 'romance']"
8,"Kristin Cashore,","“Skye kissed her forehead. ""You saved my life.""",545,['friendship']
9,"Jane Austen,","“It would be mortifying to the feelings of many ladies, could they be made to understand how little the heart of a man is affected by what is costly or new in their attire... Woman is fine for her own satisfaction alone. No man will admire her the more, no woman will like her the better for it. Neatness and fashion are enough for the former, and a something of shabbiness or impropriety will be most endearing to the latter.”",544,"['fashion,', 'friendship,', 'romance']"
10,"Robert Louis Stevenson,","“So long as we love we serve; so long as we are loved by others, I would almost say that we are indispensable; and no man is useless while he has a friend.”",538,"['friendship,', 'love,', 'service']"
11,Waqar Ahmed,"“Friendship is delicate as a glass, once broken it can be fixed but there will always be cracks”",533,['friendship']
12,"Vera Nazarian,","“Friends are a strange, volatile, contradictory, yet sticky phenomenon. They are made, crafted, shaped, molded, created by focused effort and intent. And yet, true friendship, once recognized, in its essence is effortless.",529,"['alone,', 'best-friend,', 'best-friends,', 'friend,', 'friends,', 'friendship,', 'loneliness,', 'lonely,', 'loner,', 'loners']"
13,Frank Crane,“A friend is someone with whom you dare to be yourself.”,518,['friendship']
14,"Sophie Kinsella ,","“Relationships are all about trust and equality. If one person shares, then the other person should share, too.”",512,"['friendship,', 'love,', 'romance']"
15,"Ann Patchett,","“Writing is a job, a talent, but it's also the place to go in your head. It is the imaginary friend you drink your tea with in the afternoon.”",510,"['friendship,', 'imagination,', 'tea,', 'writing']"
16,"Kathryn Stockett,","“Once upon a time they was two girls,"" I say. ""one girl had black skin, one girl had white.""",509,"['equality,', 'friendship,', 'race,', 'racism']"
17,"J.R.R. Tolkien,","“Still, I wonder if we shall ever be put into songs or tales. We're in one, of course, but I mean: put into words, you know, told by the fireside, or read out of a great big book with red and black letters, years and years afterwards. And people will say: ""Let's hear about Frodo and the Ring!"" And they will say: ""Yes, that's one of my favourite stories. Frodo was very brave, wasn't he, dad?"" ""Yes, my boy, the famousest of the hobbits, and that's saying a lot.""",508,"['friendship,', 'tales']"
18,"James Frey,",“The wounds that never heal can only be mourned alone.”,506,"['despair,', 'friendship,', 'healing']"
19,"Maggie Stiefvater,","“To think you could have been dreaming the cure for cancer,"" Blue said. ""Look, Sargent,"" Ronan retorted, ""I was gonna dream you some eye cream last night since clearly modern medicine's doing jack shit for you, but I nearly had my ass handed to me by a death snake from the fourth circle of dream hell, so you're welcome.""",504,"['blue-sargent,', 'friendship,', 'ronan-lynch,', 'the-raven-king']"
20,"Cassandra Clare,","“Jem gave her a wistful look. “Must you go? I was rather hoping that you’d stay and be a ministering angel, but if you must go, you must.”",500,"['friendship,', 'funny,', 'jem-carstairs,', 'will-herondale']"
21,"Patrick Rothfuss,","“I have known her longer, my smile said. True, you have been inside the circle of her arms, tasted her mouth, felt the warmth of her, and that is something I have never had. But there is a part of her that is only for me. You cannot touch it, no matter how hard you might try. And after she has left you I will still be here, making her laugh. My light shining in her. I will still be here long after she has forgotten your name.”",496,"['denna,', 'friendship,', 'love']"
22,Mandy Hale,“Two things you will never have to chase: True friends & true love.”,496,"['chasing,', 'friends,', 'friendship,', 'knowing-your-worth,', 'love,', 'not-settling,', 'positive-thinking,', 'self-worth,', 'stop-the-chase,', 'the-single-woman,', 'true-friends,', 'true-love']"
23,"Pierce Brown,","“Friendships take minutes to make, moments to break, years to repair.”",495,['friendship']
24,"Marissa Meyer,",“We met less than a week ago and in that time I've done nothing but lie and cheat and betray you. I know. But if you give me a chance...all I want is to protect you. To be near you. For as long as I'm able.”,493,"['betrayal,', 'chances,', 'friendship,', 'intstalove-done-right,', 'lies,', 'love,', 'lunar-chronicles,', 'protection,', 'scarlet,', 'wolf']"
25,"Morgan Matson,",“Real friends are the ones you can count on no matter what.,492,"['friends,', 'friendship']"
26,"Stephen King,","“Friends don’t spy; true friendship is about privacy, too.”",486,"['friends,', 'friendship,', 'privacy']"
27,"Ilona Andrews,",“Andrea raised her hand. “This is the hand that slapped Aunt B.”,485,"['andrea,', 'banter,', 'friendship,', 'kate']"
28,"David Nicholls,",“Can I say something?',481,"['friendship,', 'love,', 'moving-on']"
29,Dean Koontz,"“Some people think only intellect counts: knowing how to solve problems, knowing how to get by, knowing how to identify an advantage and seize it. But the functions of intellect are insufficient without courage, love, friendship, compassion, and empathy.”",471,"['character,', 'compassion,', 'empathy,', 'friendship,', 'intellect']"
0,"Ralph Waldo Emerson,","“When friendships are real, they are not glass threads or frost work, but the solidest things we can know.”",565,"['friendship,', 'reliability']"
1,"Jess C Scott,",“My head’ll explode if I continue with this escapism.”,533,"['body,', 'books,', 'cool,', 'culture,', 'desire,', 'emotion,', 'friendship,', 'funny,', 'girl,', 'honesty,', 'humor,', 'humour,', 'imagination,', 'individuality,', 'life,', 'love,', 'music,', 'novel,', 'passion,', 'reality,', 'relationships,', 'romance,', 'self,', 'sex,', 'technology,', 'truth,', 'wisdom,', 'young,', 'youth']"
2,Dorothy Parker,“Constant use had not worn ragged the fabric of their friendship.”,513,['friendship']
3,"Sarah J. Maas,","“She realized that Rowan saw each of those thoughts and more as he reached into his tunic and pulled out a dagger. Her dagger. He extended it to her, it's long blade gleaming as if he'd been secretly polishing and caring for it these months.",512,"['aelin-galathynius,', 'alike,', 'bonds,', 'breaking-point,', 'fireheart,', 'friendship,', 'heir-of-fire,', 'mutual-respect,', 'rowan-whitethorn,', 'tenderness,', 'ties']"
4,Shannon l. Alder,“A best friend is the only one that walks into your life when the world has walked out.”,500,"['acceptance,', 'adversity,', 'best-friend,', 'breakups,', 'caring,', 'child,', 'cruelty,', 'dad,', 'dumped,', 'endings,', 'family,', 'friendship,', 'hurt,', 'illness,', 'love,', 'mental-disorders,', 'misunderstood-fights,', 'mom,', 'pain,', 'rejection,', 'sorrow,', 'spouse,', 'support,', 'support-system,', 'tough-times,', 'trials,', 'true-friendship']"
5,"Homer,","“There is nothing more admirable than when two people who see eye to eye keep house as man and wife, confounding their enemies and delighting their friends.”",493,"['enemies,', 'friendship,', 'home,', 'marriage']"
6,"Leonard Cohen,","“And I'll dance with you in Vienna,",463,"['friendship,', 'love,', 'memory,', 'music']"
7,Oliver Wendall Holmes,"“Don't flatter yourself that friendship authorizes you to say disagreeable things to your intimates. The nearer you come into relation with a person, the more necessary do tact and courtesy become. Except in cases of necessity, which are rare, leave your friend to learn unpleasant things from his enemies; they are ready enough to tell them.”",461,"['disagreeable,', 'enemies,', 'friendship']"
8,"Mary Shelley,",“the companions of our childhood always possess a certain power over our minds which hardly any later friend can obtain.”,459,['friendship']
9,"Nina LaCour,",“You might be looking for reasons but there are no reasons.”,456,"['friendship,', 'love,', 'reason,', 'regret,', 'suicide']"
10,Benjamin Franklin,“Tis a great confidence in a friend to tell him your faults; greater to tell him his.”,444,['friendship']
11,"Patrick Rothfuss,","“There are so many men, all endlessly attempting to sweep me off my feet. And there is one of you, trying just the opposite. Making sure my feet are firm beneath me, lest I fall.”",444,"['empathy,', 'freedom,', 'friendship,', 'love,', 'men,', 'respect,', 'women']"
12,Byron Katie,“It's not your job to like me - it's mine”,440,"['friendship,', 'relationships']"
13,Albert Einstein,"“We know from daily life that we exist for other people first of all, for whose smiles and well-being our own happiness depends.”",433,"['friendship,', 'life,', 'relationships']"
14,"John Green,",“I hadn’t been in proper school in three years. My parents were my two best friends. My third best friend was an author who did not know I existed.”,430,"['books,', 'family,', 'friendship']"
15,"E.A. Bucchianeri,","“An acquaintance merely enjoys your company, a fair-weather companion flatters when all is well, a true friend has your best interests at heart and the pluck to tell you what you need to hear.”",426,"['acquaintances,', 'advice,', 'caring,', 'caring-for-others,', 'catholic,', 'catholic-author,', 'christian,', 'companion,', 'constructive-criticism,', 'criticism,', 'flattery,', 'friend,', 'friends,', 'friendship,', 'gadfly,', 'hard-truths,', 'human-nature,', 'people,', 'tough-love,', 'true-friends,', 'true-love,', 'truth,', 'wisdom,', 'wise-sayings']"
16,"Trenton Lee Stewart,","“May your adventures bring you closer together, even as they take you far away from home.”",419,"['adventure,', 'friendship,', 'teamwork']"
17,"Leigh Bardugo,","“Jesper: “If Pekka Rollins kills us all, I’m going to get Wylan’s ghost to teach my ghost how to play the flute just so that I can annoy the hell out of your ghost.”",411,"['friendship,', 'heist,', 'humor,', 'jesper,', 'kaz-brekker,', 'matthias-helvar,', 'sixofcrows']"
18,Simone de Beauvoir,"“One's life has value so long as one attributes value to the life of others, by means of love, friendship, and compassion”",400,"['friendship,', 'love,', 'philosophy,', 'women']"
19,Adam S. McHugh,"“Because introverts are typically good listeners and, at least, have the appearance of calmness, we are attractive to emotionally needy people. Introverts, gratified that other people are initiating with them, can easily get caught in these exhausting and unsatisfying relationships.”",399,"['friendship,', 'introverts,', 'neediness,', 'relationships']"
20,"Megan McCafferty,",“Girls will get together just to get together. Guys need an activity as an excuse. Otherwise it’s too homo for them to handle.”,395,"['boys,', 'friendship,', 'girls']"
21,"Sarah J. Maas,","“Bryce's face crumpled as she lurched to her feet, sprinting to the Gate.",394,"['bryce-quinlan,', 'danika-fendyr,', 'friendship,', 'light-it-up']"
22,"Jeanette Winterson,","“Time that withers you will wither me. We will fall like ripe fruit and roll down the grass together. Dear friend, let me lie beside you watching the clouds until the earth covers us and we are gone.”",387,"['death,', 'friendship,', 'time']"
23,"Miranda July,","“Some people need a red carpet rolled out in front of them in order to walk forward into friendship. They can't see the tiny outstretched hands all around them, everywhere, like leaves on trees.”",378,['friendship']
24,Charles Mackay,"“You have no enemies, you say? Alas, my friend, the boast is poor. He who has mingled in the fray of duty that the brave endure, must have made foes. If you have none, small is the work that you have done. You’ve hit no traitor on the hip. You’ve dashed no cup from perjured lip. You’ve never turned the wrong to right. You’ve been a coward in the fight.”",367,"['cowardice,', 'enemies,', 'friendship']"
25,"John Boyne ,","“...Despite the mayhem that followed, Bruno found that he was still holding Shmuel's hand in his own and nothing in the world would have persuaded him to let go.”",365,"['death,', 'friendship,', 'holocaust,', 'inspirational,', 'life,', 'love,', 'tear-jerker,', 'wwii-fiction']"
26,"Rainbow Rowell,","“You think that holding someone hard will bring them closer. You think that you can hold them so hard that you'll still feel them, embossed on you, when you pull away.",365,"['friendship,', 'hugs,', 'love,', 'missing,', 'missing-someone,', 'relationships']"
27,"A.A. Milne,",“How lucky am I to have something that makes saying goodbye so hard.”,354,"['friendship,', 'humor,', 'love']"
28,Ali Bin Abi Thalib,"“He who has a thousand friends has not a friend to spare,",352,['friendship']
29,"Osamu Dazai,",“For someone like myself in whom the ability to trust others is so cracked and broken that I am wretchedly timid and am forever trying to read the expression on people's faces.”,352,"['depression,', 'fear,', 'friendship,', 'human-relationships,', 'life,', 'loneliness,', 'mental-illness,', 'social-anxiety,', 'social-awkwardness,', 'trust']"
0,"Sarah Dessen,",“Friends are honest with each other. Even if the truth hurts.,872,"['friendship,', 'honesty']"
1,"Brian Andreas,",“You may not remember the time you let me go first.,613,"['crossroads,', 'friendship,', 'together']"
2,"Henry David Thoreau,","“The language of Friendship is not words, but meanings.”",524,"['friendship,', 'inspirational,', 'meaning']"
3,"Sarah Ockler,","“In your entire life, you can probably count your true friends on one hand. Maybe even on one finger. Those are the friends you need to cherish, and I wouldn't trade one of them for a hundred of the other kind. I'd rather be completely alone than with a bunch of people who aren't real. People who are just passing time.”",456,['friendship']
4,Leo Buscaglia,"“A single rose can be my garden; a single friend, my world.”",410,['friendship']
5,"Khalil Gibran,",“For what is your friend that you should seek him with hours to kill?,392,['friendship']
6,Marian Anderson,"“Everyone has a gift for something, even if it is the gift of being a good friend.”",391,"['friendship,', 'gift']"
7,"Sarah J. Maas,","“And he looked lonely enough that she said, 'If you like, you could be my friend'.”",386,"['aelin-galathynius,', 'dorian-havilliard,', 'friendship,', 'kids,', 'liitle-dorian,', 'little-aelin,', 'loneliness']"
8,"Daniel Keyes,",“Its easy to make frends if you let pepul laff at you.”,373,['friendship']
9,Edith Wharton,"“There is one friend in the life of each of us who seems not a separate person, however dear and beloved, but an expansion, an interpretation, of one's self, the very meaning of one's soul.”",361,"['friendship,', 'love,', 'meaning,', 'soul,', 'soul-mate']"
10,Carroll Bryant,“I don't like to give up on people when they need someone not to give up on them.”,355,"['friends,', 'friendship,', 'friendship-and-love,', 'loyalty']"
11,Jennifer Wilson,“A messy house is a must - it separates your true friends from other friends.,351,"['friends,', 'friendship,', 'housekeeping,', 'real-friends,', 'true-friends']"
12,Joseph Roux,“What is love? two souls and one flesh; friendship? two bodies and one soul.”,348,"['friendship,', 'love']"
13,"Emily St. John Mandel,",“A fragment for my friend--,345,"['friendship,', 'poetry']"
14,"Kelley Armstrong,",“Remembering. Forgetting. I'm not sure which is worse.”,342,"['friendship,', 'loss,', 'love,', 'pain']"
15,"Virginia Woolf,","“For this moment, this one moment, we are together. I press you to me. Come, pain, feed on me. Bury your fangs in my flesh. Tear me asunder. I sob, I sob.”",341,"['death,', 'friendship,', 'pain']"
16,"J.K. Rowling,","“His hand closed automatically around the fake Horcrux but in spite of everything, in spite of the dark and twisting path he saw stretching ahead for himself, in spite of the final meeting with Voldemort he knew must come whether in a month in a year or in ten, he felt his heart lift at the thought that there was still one last golden day of peace left to enjoy with Ron and Hermione.”",338,"['friendship,', 'loyality']"
17,"Alexandra Bracken,","“I hugged him without any kind of fear or self-consciousness, fiercely, with a rush of emotion that almost brought tears to my eyes.",334,"['chubs,', 'friendship,', 'humor,', 'ruby']"
18,"E.M. Forster,","“If I had to choose between betraying my country and betraying my friend, I hope I should have the guts to betray my country.”",332,"['friendship,', 'honour,', 'inspirational']"
19,"Jess C Scott,","“I suppose it’s not a social norm, and not a manly thing to do — to feel, discuss feelings. So that’s what I’m giving the finger to. Social norms and stuff…what good are social norms, really? I think all they do is project a limited and harmful image of people. It thus impedes a broader social acceptance of what someone, or a group of people, might actually be like.”",330,"['bisexual,', 'bisexuality,', 'bisexuals,', 'body,', 'books,', 'boy,', 'cool,', 'culture,', 'desire,', 'emotion,', 'erotic,', 'erotica,', 'friendship,', 'funny,', 'gay,', 'gay-men,', 'gay-rights,', 'glbt,', 'guy,', 'honesty,', 'humor,', 'humour,', 'imagination,', 'individuality,', 'life,', 'love,', 'music,', 'novel,', 'passion,', 'reality,', 'relationships,', 'romance,', 'self,', 'sex,', 'sexuality,', 'society,', 'society-s-increasing-stupidity,', 'technology,', 'truth,', 'wisdom,', 'young,', 'youth']"
20,"Vladimir Nabokov,","“I have often noticed that we are inclined to endow our friends with the stability of type that literary characters acquire in the reader's mind. [...] Whatever evolution this or that popular character has gone through between the book covers, his fate is fixed in our minds, and, similarly, we expect our friends to follow this or that logical and conventional pattern we have fixed for them. Thus X will never compose the immortal music that would clash with the second-rate symphonies he has accustomed us to. Y will never commit murder. Under no circumstances can Z ever betray us. We have it all arranged in our minds, and the less often we see a particular person, the more satisfying it is to check how obediently he conforms to our notion of him every time we hear of him. Any deviation in the fates we have ordained would strike us as not only anomalous but unethical. We could prefer not to have known at all our neighbor, the retired hot-dog stand operator, if it turns out he has just produced the greatest book of poetry his age has seen.”",322,"['expectations,', 'friendship']"
21,"Rick Riordan,","“Nico scowled. ‘It’s none of your business, but I don’t belong. That’s obvious. No one wants me. I’m a child of –’",319,"['family,', 'friendship,', 'nico-di-angelo,', 'will-solace']"
22,"Jody Gehrman,",“I despise the rituals of fake friendship. I wish we could just claw each other's eyes out and call it a day; instead we put on huge radiant smiles and spout compliments until our teeth hurt from the saccharine sweetness of it all.”,317,"['dishonesty,', 'fake,', 'friends,', 'friendship,', 'humor,', 'pretense']"
23,"Becca Fitzpatrick,",“Just because I've gone and snagged myself a hot boyfriend doesn't mean I'm going to leave my bestfriend high and dry.”,314,"['friends,', 'friendship,', 'nora,', 'vee-sky']"
24,"Sophocles,","“To throw away an honest friend is, as it were, to throw your life away”",313,['friendship']
25,"Aesop,","“A doubtful friend is worse than a certain enemy. Let a man be one thing or the other, and we then know how to meet him.”",311,"['disguise,', 'double-talk,', 'enemies,', 'falsehood,', 'friends,', 'friendship,', 'reliability']"
26,"Stephen Cosgrove,",“So when you're cold,309,"['cold,', 'friendship,', 'lesson']"
27,Santosh Kalwar,"“Friendship is selfless love, care, respect, and honor not a profitable opportunity.”",308,"['care,', 'friendship,', 'love,', 'opportunity,', 'respect']"
28,Henry David Thoreau,“The most I can do for my friend is simply to be his friend.”,301,['friendship']
29,"Friedrich Nietzsche,","“To those human beings who are of any concern to me I wish suffering, desolation, sickness, ill-treatment, indignities—I wish that they should not remain unfamiliar with profound self-contempt, the torture of self-mistrust, the wretchedness of the vanquished: I have no pity for them, because I wish them the only thing that can prove today whether one is worth anything or not—that one endures.”",300,"['endurance,', 'friendship,', 'inspirational,', 'philosophy']"
0,Millie,"“By chance we met, by choice we become friend”",541,['friendship']
1,"J.R. Ward,",“You're such a pain in the ass. (Butch),461,"['friendship,', 'humor,', 'vampire']"
2,"Michael Bassey Johnson,","“True friends are those who came into your life, saw the most negative part of you, but are not ready to leave you, no matter how contagious you are to them.”",460,"['acceptance,', 'affection,', 'friendship,', 'love,', 'loyalty,', 'power-of-love,', 'secrets,', 'true-friends,', 'true-love,', 'trust']"
3,Nicole Yatsonsky,“Your truest friends are the ones who will stand by you in your darkest moments--because they're willing to brave the shadows with you--and in your greatest moments--because they're not afraid to let you shine.”,415,"['friends,', 'friendship,', 'love,', 'loyalty,', 'truth']"
4,"Aristotle,","“Without friends, no one would want to live, even if he had all other goods.”",352,"['friends,', 'friendship']"
5,Bridget Davis,"“I hope we'll be friends forever, together we'll always be. I don't think you understand just how much you mean to me. And one day when we part our ways, we'll think back to the past and think about how happy we are 'cause our friendship will always last.”",343,"['friends,', 'friendship,', 'relationships']"
6,"Sylvain Reynard,","“You, of all people, deserve a happy ending. Despite everything that happened to you, you aren't bitter. You aren't cold. You've just retreated a little and been shy, and that's okay. If I were a fairy godmother, I would give you your heart's desire in an istant. And I would wipe away your tears and tell you not to cry.",337,"['friendship,', 'happiness,', 'love']"
7,"Sarah J. Maas,","“He looked at his friend, perhaps for the last time, and said what he had always known, from the moment they’d met, when he’d understood that the prince was his brother in soul. “I love you.”",316,"['brothers,', 'chaol,', 'chaol-westfall,', 'dorian,', 'dorian-havilliard,', 'friends,', 'friendship,', 'friendship-and-love,', 'heir-of-fire,', 'love,', 'sarah-j-maas,', 'throne-of-glass']"
8,"Joseph Gordon-Levitt,","“The Sun is such a lonely star. Whenever he comes out to see his friends, they all disappear.”",315,"['friendship,', 'loneliness,', 'sun']"
9,Henri Nouwen,"“There is a twilight zone in our hearts that we ourselves cannot see. Even when we know quite a lot about ourselves-our gifts and weaknesses, our ambitions and aspirations, our motives and our drives-large parts of ourselves remain in the shadow of consciousness. This is a very good thing. We will always remain partially hidden to ourselves. Other people, especially those who love us, can often see our twilight zones better than we ourselves can. The way we are seen and understood by others is different from the way we see and understand ourselves. We will never fully know the significance of our presence in the lives of our friends. That's a grace, a grace that calls us not only to humility, but to a deep trust in those who love us. It is the twilight zones of our hearts where true friendships are born.”",303,['friendship']
10,"Chloe Rattray,","“People aren’t always what you want them to be. Sometimes they disappoint you or let you down, but you have to give them a chance first. You can’t just meet someone and expect them to be everything you’re looking for and then be angry when they’re not every hope and aspiration you projected onto them. It’s foolish to believe that someone will be what you imagine them to be. And sometimes, when you give them a chance, they turn out to be better than you imagined. Different, but better.”",297,"['friendship,', 'realization,', 'second-chances']"
11,"C.S. Lewis,","“Those who cannot conceive Friendship as a substantive love but only as a disguise or elaboration of Eros betray the fact that they have never had a Friend. The rest of us know that though we can have erotic love and friendship for the same person yet in some ways nothing is less like a Friendship than a love-affair. Lovers are always talking to one another about their love; Friends hardly ever about their Friendship. Lovers are normally face to face, absorbed in each other; Friends, side by side, absorbed in some common interest. Above all, Eros (while it lasts) is necessarily between two only. But two, far from being the necessary number for Friendship, is not even the best. And the reason for this is important.",296,"['friendship,', 'love']"
12,C. J. Langenhoven,"“Friends should be like books, few, but hand-selected. ”",295,['friendship']
13,"William Shakespeare,","“He that is thy friend indeed,",292,"['friendship,', 'poetry']"
14,Henri J.M. Nouwen,"“A friend is more than a therapist or confessor, even though a friend can sometimes heal us and offer us God's forgiveness. A friend is that other person with whom we can share our solitude, our silence, and our prayer. A friend is that other person with whom we can look at a tree and say, ""Isn't that beautiful,"" or sit on the beach and silently watch the sun disappear under the horizon. With a friend we don't have to say or do something special. With a friend we can be still and know that God is there with both of us.”",291,['friendship']
